date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:44	302/302	---MCZ	200	added ('OK')	text/plain	etag:W/%221f3-o0Sf7VWl1fJvUq5a8weofBhjQpU%22	https://www.annekeslershields.com/robots.txt		(from )
10:56:45	620835/620835	---MCZ	200	added ('OK')	text/html	etag:W/%22daea34f866e752a918a4f628a6e1925a%22	https://www.annekeslershields.com/	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/index.html	(from )
10:56:46	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.annekeslershields.com/)
10:56:46	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.annekeslershields.com/)
10:56:47	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.annekeslershields.com/)
10:56:47	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2015:56:45%20GMT	https://www.annekeslershields.com/t	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/t.3.delayed	(from https://www.annekeslershields.com/)
10:56:47	2207/2207	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2015:56:46%20GMT	https://www.annekeslershields.com/o	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/o.4.delayed	(from https://www.annekeslershields.com/)
10:56:48	1587/1587	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:56:46%20GMT	https://static.wixstatic.com/media/7eba9c_5f406fdfd40a47ca85dd9cd3e1f953cc~mv2.jpg/v1/fill/w_40,h_40,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/profile%2520pic_edited.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_5f406fdfd40a47ca85dd9cd3e1f953cc_mv2.jpg/v1/fill/w_40,h_40,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/profile%20pic_edited.jpg	(from https://www.annekeslershields.com/)
10:56:49	656479/656479	---MCZ	200	added ('OK')	text/html	etag:W/%228641d7f9a71a6bfa62fe73dd547b6b4b%22	https://www.annekeslershields.com/home-1	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/home-1.html	(from https://www.annekeslershields.com/)
10:56:51	1140392/1140392	---MCZ	200	added ('OK')	text/html	etag:W/%22a7010b74d9ab42825b6ec2890c940fd7%22	https://www.annekeslershields.com/browse-all	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/browse-all.html	(from https://www.annekeslershields.com/)
10:56:52	884191/884191	---MCZ	200	added ('OK')	text/html	etag:W/%22a028d2e86eac928fd7c4a1a86b7c1aef%22	https://www.annekeslershields.com/op-art-1	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/op-art-1.html	(from https://www.annekeslershields.com/)
10:56:53	886142/886142	---MCZ	200	added ('OK')	text/html	etag:W/%22d82a418d83b00d688e8e03560b4cbc8e%22	https://www.annekeslershields.com/secca-50-year-retrospective	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/secca-50-year-retrospective.html	(from https://www.annekeslershields.com/)
10:56:55	825393/825393	---MCZ	200	added ('OK')	text/html	etag:W/%22ffd4023088919fe41d5cb3f6f563f066%22	https://www.annekeslershields.com/oil-paintings	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/oil-paintings.html	(from https://www.annekeslershields.com/)
10:56:56	820798/820798	---MCZ	200	added ('OK')	text/html	etag:W/%22d5eddb50fad97d412b2020a8a9e2a296%22	https://www.annekeslershields.com/woodcuts	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/woodcuts.html	(from https://www.annekeslershields.com/)
10:56:57	841035/841035	---MCZ	200	added ('OK')	text/html	etag:W/%22b7d2be61948cacbd82b76a6d9965ec02%22	https://www.annekeslershields.com/portraiture	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/portraiture.html	(from https://www.annekeslershields.com/)
10:56:59	890034/890034	---MCZ	200	added ('OK')	text/html	etag:W/%22f045e54781c38f8033ab96e20f7d46e6%22	https://www.annekeslershields.com/appropriated-images	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/appropriated-images.html	(from https://www.annekeslershields.com/)
10:57:01	853688/853688	---MCZ	200	added ('OK')	text/html	etag:W/%2214ae3c98cb4728b4fa9cf7183d4f3cb5%22	https://www.annekeslershields.com/installations	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/installations.html	(from https://www.annekeslershields.com/)
10:57:02	820532/820532	---MCZ	200	added ('OK')	text/html	etag:W/%2270b78d784ebb4dca925233cf1ee8741b%22	https://www.annekeslershields.com/sculpture	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/sculpture.html	(from https://www.annekeslershields.com/)
10:57:03	878940/878940	---MCZ	200	added ('OK')	text/html	etag:W/%228cac58601ed8957f16fddf269302bf78%22	https://www.annekeslershields.com/arbor-acres-permanent-collection	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/arbor-acres-permanent-collection.html	(from https://www.annekeslershields.com/)
10:57:04	634101/634101	---MCZ	200	added ('OK')	text/html	etag:W/%22d2579fdd08636e025b5d8e13f0bdd407%22	https://www.annekeslershields.com/news	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/news.html	(from https://www.annekeslershields.com/)
10:57:05	652639/652639	---MCZ	200	added ('OK')	text/html	etag:W/%22cffb556cc2b35259baf7ba297e053228%22	https://www.annekeslershields.com/about	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/about.html	(from https://www.annekeslershields.com/)
10:57:07	643228/643228	---MCZ	200	added ('OK')	text/html	etag:W/%227d7e13b4edf4003acce0eeab54f42331%22	https://www.annekeslershields.com/contact	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/contact.html	(from https://www.annekeslershields.com/)
10:57:07	750/750	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Feb%202026%2015:57:04%20GMT	https://static.wixstatic.com/media/23fd2a2be53141ed810f4d3dcdcd01fa.png/v1/fill/w_20,h_20,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/23fd2a2be53141ed810f4d3dcdcd01fa.png	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/23fd2a2be53141ed810f4d3dcdcd01fa.png/v1/fill/w_20,h_20,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/23fd2a2be53141ed810f4d3dcdcd01fa.png	(from https://www.annekeslershields.com/)
10:57:07	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Fri,%2027%20Feb%202026%2015:57:05%20GMT	https://www.annekeslershields.com/window.location.href	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/window.location.15.delayed	(from https://www.annekeslershields.com/)
10:57:07	131854/131854	---M-Z	200	added ('OK')	application/javascript	etag:%223dba122fff59f2079b3877b077a5c7c7%22	https://browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	(from https://www.annekeslershields.com/)
10:57:08	3323/3323	---M-Z	200	added ('OK')	application/javascript	etag:%22ccf0e1db3811d44808d97a63c7a72d1f%22	https://browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	(from https://www.annekeslershields.com/)
10:57:08	376/376	---MCZ	200	added ('OK')	text/xml	etag:W/%22178-vrKU3MBlsTh8dt27x0sdKcM4NnI%22	https://www.annekeslershields.com/sitemap.xml	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/sitemap.xml	(from https://www.annekeslershields.com/)
10:57:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Feb%202026%2015:57:06%20GMT	https://www.annekeslershields.com/api/	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/api/index.html	(from https://www.annekeslershields.com/)
10:57:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Feb%202026%2015:57:06%20GMT	https://www.annekeslershields.com/envelope/	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/envelope/index.html	(from https://www.annekeslershields.com/)
10:57:09	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2015:57:07%20GMT	https://www.annekeslershields.com/feed.xml	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/feed.19.delayed	(from https://www.annekeslershields.com/)
10:57:09	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://www.annekeslershields.com/)
10:57:09	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://www.annekeslershields.com/)
10:57:09	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.annekeslershields.com/)
10:57:10	139094/139094	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a9c610faab36c7aa5e7ae1697cb3a63%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.7660a4b3.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.7660a4b3.bundle.min.js	(from https://www.annekeslershields.com/)
10:57:10	222110/222110	---M-Z	200	added ('OK')	application/javascript	etag:W/%221635fd15ab4befb1d1604212aa5ded1b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.d5ab5c16.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/main.d5ab5c16.bundle.min.js	(from https://www.annekeslershields.com/)
10:57:10	152/152	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bf8f6aa63ab8af397b5583a85e954280%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.99fa8096.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.99fa8096.bundle.min.js	(from https://www.annekeslershields.com/)
10:57:11	190364/190364	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc4b433c936638b393bab82293daacc4%22	https://static.parastorage.com/services/ecom-platform-cart-icon/1.2228.0/CartIconViewerWidgetNoCss.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/ecom-platform-cart-icon/1.2228.0/CartIconViewerWidgetNoCss.bundle.min.js	(from https://www.annekeslershields.com/)
10:57:11	3828/3828	---M-Z	200	added ('OK')	application/javascript	etag:W/%223a24630a3be11a607e3572bfef26e2d3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://www.annekeslershields.com/)
